,Unnamed: 0,Unnamed: 0.1,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007,whether he/she donated blood in March 2008,whether he/she donated blood in March 2009,Monetary after March 2007 (c.c. blood),Monetary in branch 2 (c.c. blood)
206,206,206,2,2,500,16,0,0,1,500,375
207,207,207,2,7,1750,76,0,1,1,1750,2397
208,208,208,11,6,1500,27,0,1,1,1500,1920
209,209,209,11,3,750,14,0,1,0,750,967
210,210,210,4,1,250,4,0,1,1,250,342
211,211,211,4,1,250,4,0,0,1,250,375
212,212,212,4,1,250,4,0,1,0,250,372
213,213,213,4,1,250,4,0,0,1,250,350
214,214,214,4,1,250,4,0,0,0,250,152
215,215,215,4,1,250,4,1,0,1,491,317
216,216,216,4,1,250,4,0,1,0,250,185
217,217,217,4,1,250,4,0,0,1,250,317
218,218,218,4,1,250,4,0,1,1,250,177
219,219,219,4,1,250,4,0,1,0,250,200
220,220,220,4,1,250,4,0,1,0,250,310
221,221,221,4,1,250,4,1,1,0,636,155
222,222,222,4,1,250,4,1,1,0,620,157
223,223,223,4,1,250,4,0,1,1,250,162
224,224,224,4,1,250,4,1,0,1,700,305
225,225,225,4,1,250,4,1,0,1,589,145
226,226,226,4,1,250,4,0,1,1,250,325
227,227,227,4,3,750,24,0,0,1,750,457
228,228,228,4,1,250,4,0,0,1,250,317
229,229,229,4,1,250,4,0,1,1,250,127
230,230,230,4,1,250,4,0,1,1,250,342
231,231,231,4,1,250,4,1,0,1,552,342
232,232,232,4,1,250,4,0,0,1,250,132
233,233,233,10,8,2000,39,0,1,1,2000,1140
234,234,234,14,7,1750,26,0,0,1,1750,1120
235,235,235,8,10,2500,63,0,1,0,2500,1400
236,236,236,11,3,750,15,0,0,1,750,577
237,237,237,4,2,500,14,0,0,1,500,265
238,238,238,2,4,1000,43,0,0,1,1000,1460
239,239,239,8,9,2250,58,0,0,0,2250,1417
240,240,240,8,8,2000,52,1,1,0,2498,1200
241,241,241,11,22,5500,98,0,1,1,5500,3905
242,242,242,4,3,750,25,1,0,1,1169,525
243,243,243,11,17,4250,79,1,1,0,4660,2507
244,244,244,9,2,500,11,0,1,1,500,750
245,245,245,4,5,1250,46,0,0,0,1250,1875
246,246,246,11,12,3000,58,0,1,0,3000,2310
247,247,247,7,12,3000,86,0,1,1,3000,2160
248,248,248,11,2,500,11,0,0,0,500,285
249,249,249,11,2,500,11,0,1,0,500,620
250,250,250,11,2,500,11,0,1,1,500,650
251,251,251,2,6,1500,75,0,0,1,1500,960
252,252,252,11,8,2000,41,1,0,0,2291,1380
253,253,253,11,3,750,16,1,1,0,1033,1035
254,254,254,12,13,3250,59,0,0,1,3250,4420
255,255,255,2,3,750,35,0,0,0,750,435
256,256,256,16,8,2000,28,0,1,0,2000,1540
257,257,257,11,7,1750,37,0,0,1,1750,2327
258,258,258,4,3,750,28,0,0,1,750,1095
259,259,259,12,12,3000,58,0,0,1,3000,3660
260,260,260,4,4,1000,41,0,1,1,1000,1270
261,261,261,11,14,3500,73,1,0,0,3875,2730
262,262,262,2,2,500,23,0,1,1,500,395
263,263,263,2,3,750,38,1,1,0,1110,397
264,264,264,4,5,1250,58,0,1,1,1250,912
265,265,265,4,4,1000,43,1,0,0,1408,1350
266,266,266,3,2,500,23,0,1,0,500,345
267,267,267,11,8,2000,46,0,0,0,2000,2540
268,268,268,4,7,1750,82,0,0,0,1750,2310
269,269,269,13,4,1000,21,0,1,1,1000,1390
270,270,270,16,11,2750,40,0,1,0,2750,3382
271,271,271,16,7,1750,28,0,0,0,1750,2257
272,272,272,7,2,500,16,0,0,1,500,725
273,273,273,4,5,1250,58,0,0,1,1250,1750
274,274,274,4,5,1250,58,0,1,0,1250,950
275,275,275,4,4,1000,46,0,1,0,1000,800
276,276,276,14,13,3250,57,0,1,1,3250,4062
277,277,277,4,3,750,34,0,1,1,750,1065
278,278,278,14,18,4500,78,0,0,1,4500,6570
279,279,279,11,8,2000,48,0,1,0,2000,2520
280,280,280,14,16,4000,70,0,1,1,4000,2120
281,281,281,14,4,1000,22,1,1,0,1498,650
282,282,282,14,5,1250,26,0,0,1,1250,987
283,283,283,8,2,500,16,0,1,0,500,390
284,284,284,11,5,1250,33,0,0,0,1250,1725
285,285,285,11,2,500,14,0,1,0,500,680
286,286,286,4,2,500,23,0,0,1,500,365
287,287,287,9,2,500,16,1,0,0,712,750
288,288,288,14,5,1250,28,1,1,0,1589,1550
289,289,289,14,3,750,19,1,0,1,996,1027
290,290,290,14,4,1000,23,1,0,0,1392,1280
291,291,291,16,12,3000,50,0,0,1,3000,4380
292,292,292,11,4,1000,28,0,0,0,1000,1290
293,293,293,11,5,1250,35,0,1,1,1250,800
294,294,294,11,5,1250,35,0,1,1,1250,625
295,295,295,2,4,1000,70,0,1,1,1000,740
296,296,296,14,5,1250,28,0,1,0,1250,762
297,297,297,14,2,500,14,0,0,0,500,395
298,298,298,14,2,500,14,0,1,1,500,720
299,299,299,14,2,500,14,0,1,1,500,600
300,300,300,14,2,500,14,0,0,1,500,690
301,301,301,14,2,500,14,0,1,1,500,710
302,302,302,14,2,500,14,0,1,1,500,710
303,303,303,2,3,750,52,0,1,0,750,382
304,304,304,14,6,1500,34,0,0,1,1500,810
305,305,305,11,5,1250,37,1,1,1,1540,1762
306,306,306,4,5,1250,74,0,0,0,1250,1562
307,307,307,11,3,750,23,0,0,0,750,577
308,308,308,16,4,1000,23,0,1,0,1000,1410
309,309,309,16,3,750,19,0,0,0,750,397
310,310,310,11,5,1250,38,0,0,0,1250,975
311,311,311,11,2,500,16,0,0,0,500,740
312,312,312,12,9,2250,60,0,1,0,2250,3307
313,313,313,9,1,250,9,0,0,0,250,190
314,314,314,9,1,250,9,0,1,0,250,372
315,315,315,4,2,500,29,0,1,1,500,615
316,316,316,11,2,500,17,0,0,0,500,315
317,317,317,14,4,1000,26,0,0,0,1000,1320
318,318,318,11,9,2250,72,1,1,0,2477,1395
319,319,319,11,5,1250,41,0,0,0,1250,1725
320,320,320,15,16,4000,82,0,0,1,4000,2240
321,321,321,9,5,1250,51,1,0,0,1592,1625
322,322,322,11,4,1000,34,0,0,1,1000,620
323,323,323,14,8,2000,50,1,0,0,2405,2960
324,324,324,16,7,1750,38,0,1,1,1750,2537
325,325,325,14,2,500,16,0,1,1,500,695
326,326,326,2,2,500,41,0,1,0,500,340
327,327,327,14,16,4000,98,0,0,1,4000,2440
328,328,328,14,4,1000,28,1,0,0,1378,770
329,329,329,16,7,1750,39,0,0,1,1750,875
330,330,330,14,7,1750,47,0,0,0,1750,2415
331,331,331,16,6,1500,35,0,0,0,1500,1920
332,332,332,16,6,1500,35,1,0,0,1905,960
333,333,333,11,7,1750,62,1,1,1,2025,1365
334,334,334,16,2,500,16,0,1,0,500,340
335,335,335,16,3,750,21,1,0,0,1226,427
336,336,336,11,3,750,28,0,0,0,750,510
337,337,337,11,7,1750,64,0,1,1,1750,1067
338,338,338,11,1,250,11,1,1,1,492,132
339,339,339,9,3,750,34,0,1,0,750,922
340,340,340,14,4,1000,30,0,0,0,1000,1340
341,341,341,23,38,9500,98,0,1,0,9500,6175
342,342,342,11,6,1500,58,0,0,1,1500,1875
343,343,343,11,1,250,11,0,0,1,250,140
344,344,344,11,1,250,11,0,0,1,250,372
345,345,345,11,1,250,11,0,0,1,250,127
346,346,346,11,1,250,11,0,0,0,250,330
347,347,347,11,1,250,11,0,0,0,250,322
348,348,348,11,1,250,11,0,1,0,250,185
349,349,349,11,1,250,11,0,0,1,250,172
350,350,350,11,1,250,11,0,0,1,250,370
351,351,351,11,2,500,21,0,0,1,500,390
352,352,352,11,5,1250,50,0,1,0,1250,687
353,353,353,11,2,500,21,0,1,0,500,700
354,354,354,16,4,1000,28,0,1,1,1000,610
355,355,355,4,2,500,41,0,1,1,500,650
356,356,356,16,6,1500,40,0,1,1,1500,1905
357,357,357,14,3,750,26,0,0,0,750,382
358,358,358,9,2,500,26,0,1,0,500,720
359,359,359,21,16,4000,64,0,1,0,4000,3040
360,360,360,14,6,1500,51,0,1,1,1500,855
361,361,361,11,2,500,24,0,1,1,500,315
362,362,362,4,3,750,71,0,1,1,750,922
363,363,363,21,13,3250,57,0,1,1,3250,2210
364,364,364,11,6,1500,71,0,1,1,1500,870
365,365,365,14,2,500,21,1,1,1,905,270
366,366,366,23,15,3750,57,0,1,0,3750,5550
367,367,367,14,4,1000,38,0,1,1,1000,1350
368,368,368,11,2,500,26,0,1,0,500,610
369,369,369,16,5,1250,40,1,0,1,1525,1662
370,370,370,4,2,500,51,1,1,0,729,375
371,371,371,14,3,750,31,0,0,0,750,915
372,372,372,4,2,500,52,0,1,0,500,635
373,373,373,9,4,1000,65,0,1,0,1000,1340
374,374,374,14,4,1000,40,0,1,1,1000,1450
375,375,375,11,3,750,40,1,0,0,1067,457
376,376,376,14,5,1250,50,0,1,0,1250,825
377,377,377,14,1,250,14,0,0,0,250,355
378,378,378,14,1,250,14,0,1,0,250,300
379,379,379,14,1,250,14,0,1,0,250,335
380,380,380,14,1,250,14,0,1,1,250,172
381,381,381,14,1,250,14,0,0,0,250,350
382,382,382,14,1,250,14,0,1,0,250,145
383,383,383,14,1,250,14,0,0,1,250,132
384,384,384,14,1,250,14,0,0,1,250,147
385,385,385,14,7,1750,72,0,0,1,1750,2397
386,386,386,14,1,250,14,0,1,0,250,302
387,387,387,14,1,250,14,0,1,1,250,330
388,388,388,9,3,750,52,0,1,0,750,420
389,389,389,14,7,1750,73,0,1,0,1750,2485
390,390,390,11,4,1000,58,0,0,1,1000,1500
391,391,391,11,4,1000,59,0,0,0,1000,1220
392,392,392,4,2,500,59,0,1,0,500,290
393,393,393,11,4,1000,61,0,1,0,1000,660
394,394,394,16,4,1000,40,0,1,0,1000,610
395,395,395,16,10,2500,89,0,0,0,2500,1625
396,396,396,21,2,500,21,1,1,0,941,610
397,397,397,21,3,750,26,0,1,1,750,952
398,398,398,16,8,2000,76,0,0,0,2000,1500
399,399,399,21,3,750,26,1,1,0,1026,435
400,400,400,18,2,500,23,0,0,1,500,265
401,401,401,23,5,1250,33,0,0,1,1250,1862
402,402,402,23,8,2000,46,0,1,1,2000,2560
403,403,403,16,3,750,34,0,0,0,750,412
404,404,404,14,5,1250,64,0,0,1,1250,787
405,405,405,14,3,750,41,0,0,1,750,390
406,406,406,16,1,250,16,0,1,1,250,347
407,407,407,16,1,250,16,0,0,1,250,150
408,408,408,16,1,250,16,0,0,1,250,125
409,409,409,16,1,250,16,0,1,1,250,132
410,410,410,16,1,250,16,0,0,0,250,177
411,411,411,16,1,250,16,0,1,1,250,145
412,412,412,16,1,250,16,0,1,1,250,167
413,413,413,16,4,1000,45,0,0,0,1000,630
414,414,414,16,1,250,16,0,0,1,250,147
415,415,415,16,1,250,16,0,1,1,250,365
416,416,416,16,1,250,16,0,1,1,250,195
417,417,417,16,1,250,16,0,1,1,250,330
418,418,418,16,1,250,16,0,0,1,250,360
419,419,419,16,2,500,26,0,1,0,500,740
420,420,420,21,2,500,23,0,0,1,500,710
421,421,421,16,2,500,27,0,0,0,500,265
422,422,422,21,2,500,23,0,0,1,500,665
423,423,423,21,2,500,23,0,1,0,500,705
424,424,424,14,4,1000,57,0,0,0,1000,650
425,425,425,16,5,1250,60,0,1,1,1250,750
426,426,426,23,2,500,23,0,0,0,500,360
427,427,427,14,5,1250,74,0,0,0,1250,1537
428,428,428,23,3,750,28,0,0,1,750,577
429,429,429,16,3,750,40,0,1,1,750,600
430,430,430,9,2,500,52,0,0,1,500,325
431,431,431,9,2,500,52,0,0,1,500,615
432,432,432,16,7,1750,87,1,0,0,2135,1207
433,433,433,14,4,1000,64,0,0,1,1000,1350
434,434,434,14,2,500,35,0,0,1,500,675
435,435,435,16,7,1750,93,0,1,0,1750,2380
436,436,436,21,2,500,25,0,1,1,500,685
437,437,437,14,3,750,52,0,0,0,750,1042
438,438,438,23,14,3500,93,0,1,1,3500,4655
439,439,439,18,8,2000,95,0,1,1,2000,2400
440,440,440,16,3,750,46,0,1,0,750,562
441,441,441,11,3,750,76,0,0,0,750,1042
442,442,442,11,2,500,52,0,0,0,500,260
443,443,443,11,3,750,76,0,0,0,750,570
444,444,444,23,12,3000,86,0,0,1,3000,1680
445,445,445,21,3,750,35,0,1,1,750,1117
446,446,446,23,2,500,26,0,0,0,500,650
447,447,447,23,2,500,26,0,0,1,500,290
448,448,448,23,8,2000,64,0,1,1,2000,1360
449,449,449,16,3,750,50,0,0,1,750,457
450,450,450,23,3,750,33,0,1,0,750,1095
451,451,451,21,3,750,38,0,1,0,750,1095
452,452,452,23,2,500,28,0,0,0,500,280
453,453,453,21,1,250,21,0,0,1,250,190
454,454,454,21,1,250,21,0,0,1,250,337
455,455,455,21,1,250,21,0,1,0,250,342
456,456,456,21,1,250,21,0,0,1,250,132
457,457,457,21,1,250,21,0,1,0,250,345
458,458,458,21,1,250,21,0,1,1,250,312
459,459,459,21,1,250,21,0,0,1,250,157
460,460,460,21,1,250,21,0,1,1,250,302
461,461,461,21,1,250,21,0,0,0,250,305
462,462,462,21,1,250,21,1,1,1,742,337
463,463,463,21,1,250,21,0,1,1,250,340
464,464,464,21,1,250,21,0,0,0,250,320
465,465,465,21,5,1250,60,0,1,0,1250,700
466,466,466,23,4,1000,45,0,0,1,1000,580
467,467,467,21,4,1000,52,0,1,0,1000,1250
468,468,468,22,1,250,22,1,0,0,749,347
469,469,469,11,2,500,70,0,0,1,500,670
470,470,470,23,5,1250,58,0,0,1,1250,1737
471,471,471,23,3,750,40,0,1,1,750,1117
472,472,472,23,3,750,41,0,0,1,750,1042
473,473,473,14,3,750,83,0,0,1,750,967
474,474,474,21,2,500,35,0,0,1,500,665
475,475,475,26,5,1250,49,1,1,1,1673,1737
476,476,476,23,6,1500,70,0,1,1,1500,2100
477,477,477,23,1,250,23,0,0,1,250,310
478,478,478,23,1,250,23,0,0,0,250,195
479,479,479,23,1,250,23,0,0,1,250,142
480,480,480,23,1,250,23,0,0,0,250,155
481,481,481,23,1,250,23,0,0,0,250,362
482,482,482,23,1,250,23,0,1,1,250,330
483,483,483,23,1,250,23,0,1,1,250,325
484,484,484,23,1,250,23,0,0,1,250,130
485,485,485,23,4,1000,53,0,1,1,1000,1290
486,486,486,21,6,1500,86,0,0,0,1500,840
487,487,487,23,3,750,48,0,0,0,750,532
488,488,488,21,2,500,41,0,1,0,500,275
489,489,489,21,3,750,64,0,1,0,750,975
490,490,490,16,2,500,70,0,1,1,500,640
491,491,491,21,3,750,70,0,1,1,750,390
492,492,492,23,4,1000,87,0,0,0,1000,1250
493,493,493,23,3,750,89,0,1,0,750,517
494,494,494,23,2,500,87,0,1,0,500,335
495,495,495,35,3,750,64,0,0,1,750,382
496,496,496,38,1,250,38,0,1,0,250,332
497,497,497,38,1,250,38,0,0,1,250,130
498,498,498,40,1,250,40,0,0,1,250,355
499,499,499,74,1,250,74,0,0,0,250,360
500,500,500,2,43,10750,86,1,1,0,11065,8170
501,501,501,6,22,5500,28,1,0,1,5902,4235
502,502,502,2,34,8500,77,1,0,1,8793,11815
503,503,503,2,44,11000,98,0,0,0,11000,7040
504,504,504,0,26,6500,76,1,1,1,6787,4160
505,505,505,2,41,10250,98,1,0,1,10684,14555
506,506,506,3,21,5250,42,1,0,0,5657,2782
507,507,507,2,11,2750,23,0,0,1,2750,1622
508,508,508,2,21,5250,52,1,0,0,5602,7035
509,509,509,2,13,3250,32,1,0,1,3602,2242
510,510,510,4,4,1000,4,1,0,0,1345,760
511,511,511,2,11,2750,26,0,0,1,2750,4097
512,512,512,2,11,2750,28,0,1,1,2750,3630
513,513,513,3,14,3500,35,0,0,1,3500,2660
514,514,514,4,16,4000,38,1,1,0,4375,5880
515,515,515,4,6,1500,14,0,0,1,1500,1890
516,516,516,3,5,1250,12,1,0,0,1488,912
517,517,517,4,33,8250,98,1,1,1,8572,11550
518,518,518,3,10,2500,33,1,0,1,2889,3275
519,519,519,4,10,2500,28,1,0,1,2931,1300
520,520,520,2,11,2750,40,1,1,0,3034,4042
521,521,521,2,11,2750,41,1,1,1,2957,3685
522,522,522,4,13,3250,39,1,1,0,3488,4290
523,523,523,1,10,2500,43,1,0,0,2893,3250
524,524,524,4,9,2250,28,0,0,1,2250,1732
525,525,525,2,4,1000,11,0,0,0,1000,750
526,526,526,2,5,1250,16,1,0,0,1627,850
527,527,527,2,15,3750,64,0,0,0,3750,5175
528,528,528,5,24,6000,79,0,0,0,6000,7980
529,529,529,2,6,1500,22,1,0,0,1753,840
530,530,530,4,5,1250,16,1,0,0,1585,925
531,531,531,2,4,1000,14,1,0,1,1236,1270
532,532,532,4,8,2000,28,0,1,1,2000,1460
533,533,533,2,4,1000,14,0,1,1,1000,700
534,534,534,2,6,1500,26,0,0,0,1500,1155
535,535,535,4,5,1250,16,1,0,1,1626,1750
